FID,BuildingID,landUseTyp,Area,Fheight,Fnum,Height,Age,LandNum,Cluster,Centre
16505,85503694.0,Residential_1,2348.0643,0.0,0,6.0,1970.0,0,2.0,-1.0
16510,85503702.0,Residential_1,977.4534,0.0,0,6.0,1970.0,0,2.0,-1.0
16518,85503716.0,Residential_1,1445.2769,0.0,0,6.0,1970.0,0,2.0,-1.0
16524,85503825.0,Residential_1,2047.3352,0.0,0,6.0,1970.0,0,2.0,-1.0
17548,85504522.0,Residential_1,1275.6804,0.0,0,6.0,1970.0,0,2.0,-1.0
17555,85504322.0,Residential_1,4504.0861,0.0,0,5.0,1970.0,0,1.0,-1.0
17560,85504355.0,Residential_1,5161.4714,0.0,0,6.0,1975.0,0,2.0,-1.0
17598,85504114.0,Residential_1,970.16,0.0,0,6.0,1970.0,0,2.0,-1.0
17613,85503873.0,Residential_1,3410.9403,0.0,0,6.0,1980.0,0,14.0,-1.0
17615,85503875.0,Residential_1,1213.7829,0.0,0,6.0,1980.0,0,14.0,-1.0
